id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message
Mediterraneibacter	5	1.63698977916928	0.034965034965035	0.626373626373626						
Merdimonas	1	1.85053294131254	0.0759240759240759	0.626373626373626						
Mogibacterium	1	1.76936921581638	0.106893106893107	0.626373626373626						
Olsenella	5	1.62873413835523	0.036963036963037	0.626373626373626		1	0.608109093105251	0.695304695304695	0.950769230769231	
Peptoniphilus	1	1.87488205896139	0.0619380619380619	0.626373626373626						
Roseburia	5	1.46888281198317	0.0939060939060939	0.626373626373626		3	0.946695020091752	0.583416583416583	0.950769230769231	
Ruthenibacterium	1	1.86473659327437	0.0679320679320679	0.626373626373626						
Scardovia	1	1.79168924032782	0.0969030969030969	0.626373626373626						
Sellimonas	1	1.91546392170947	0.045954045954046	0.626373626373626						
Senegalimassilia	2	1.55002168541426	0.113886113886114	0.626373626373626						
Traorella	1	1.88705661778581	0.054945054945055	0.626373626373626						
Blastocystis						1	1.79933649466759	0.100899100899101	0.626373626373626	
Butyrivibrio						1	1.88055654477412	0.0769230769230769	0.626373626373626	
Clostridium	20	0.936513420653101	0.578421578421578	0.950769230769231		14	1.4764718769997	0.041958041958042	0.626373626373626	
Pseudoruminococcus						1	1.81183188699167	0.0959040959040959	0.626373626373626	
Victivallis						2	1.66411235629888	0.0699300699300699	0.626373626373626	
Colibacter	1	1.73690372561791	0.128871128871129	0.638297872340426						
Faecalicatena	1	1.74096191189272	0.126873126873127	0.638297872340426						
Hungatella	3	1.45671629787176	0.12987012987013	0.638297872340426		1	1.60149278286965	0.206793206793207	0.783102143757882	
Lactobacillus	6	1.37894699056626	0.127872127872128	0.638297872340426		2	0.598750103382972	0.777222777222777	0.952074103906565	
Rubneribacter	1	1.74907828444233	0.123876123876124	0.638297872340426						
Collinsella	7	1.32849040083195	0.150849150849151	0.657474600870827		1	1.02670473596195	0.472527472527473	0.932855280312907	
Comamonas	1	1.69835095600723	0.146853146853147	0.657474600870827						
Limosilactobacillus	4	1.40930281874381	0.143856143856144	0.657474600870827		1	0.408182815919963	0.797202797202797	0.954866562009419	
Mediterranea	1	1.71661279424387	0.141858141858142	0.657474600870827						
Succinatimonas	1	1.72675825993089	0.136863136863137	0.657474600870827						
Alistipes	8	0.542247447844997	0.946053946053946	0.991994430908458		13	1.27610355236791	0.148851148851149	0.657474600870827	
Subdoligranulum						1	1.68271283297617	0.155844155844156	0.666666666666667	
Parvimonas						2	1.47257758208318	0.166833166833167	0.700699300699301	
Veillonella	4	1.35004609595303	0.170829170829171	0.70467032967033		1	1.34741980561335	0.328671328671329	0.872679045092838	
Weissella	2	1.46525649363268	0.177822177822178	0.720647773279352						
Candidatus Borkfalkia						1	1.62856613290516	0.190809190809191	0.754889178617992	
Romboutsia						2	1.43287093706132	0.192807192807193	0.754889178617992	
Gordonibacter	1	1.59689629913703	0.204795204795205	0.783102143757882						
Dialister	1	1.56645990207597	0.220779220779221	0.82258064516129		3	0.78028271340466	0.701298701298701	0.950769230769231	
Actinomyces	1	1.37572514715998	0.308691308691309	0.854395604395604						
Baileyella	1	1.37166696088517	0.310689310689311	0.854395604395604						
Dielma	1	1.38992879912181	0.301698301698302	0.854395604395604						
Emergencia	1	1.46906343148057	0.25974025974026	0.854395604395604						
Enterocloster	5	1.16638582123074	0.301698301698302	0.854395604395604						
Enteroscipio	2	1.35334157049808	0.246753246753247	0.854395604395604						
Escherichia	4	1.17139342983347	0.310689310689311	0.854395604395604						
Fenollaria	1	1.40819063735845	0.286713286713287	0.854395604395604						
Gemmiger	1	1.385870612847	0.304695304695305	0.854395604395604		2	0.793930259553934	0.664335664335664	0.950769230769231	
Haemophilus	1	1.42442338245768	0.276723276723277	0.854395604395604		2	0.947297665324136	0.551448551448551	0.950769230769231	
Latilactobacillus	2	1.34297907761524	0.253746253746254	0.854395604395604						
Lawsonella	1	1.44065612755691	0.274725274725275	0.854395604395604						
Porphyromonas	1	1.37978333343479	0.306693306693307	0.854395604395604		1	0.672668620113	0.657342657342657	0.950769230769231	
Slackia	1	1.42036519618287	0.280719280719281	0.854395604395604		1	0.57062291613301	0.711288711288711	0.950769230769231	
Sutterella	3	1.22194913139828	0.292707292707293	0.854395604395604		3	0.813496531827587	0.68031968031968	0.950769230769231	
Bacteroides	20	0.412243728474723	1	1		13	1.17342435538284	0.267732267732268	0.854395604395604	
Blautia	12	0.982687015824394	0.506493506493507	0.950769230769231		3	1.28296273309373	0.245754245754246	0.854395604395604	
Lachnospira						1	1.52652042892517	0.244755244755245	0.854395604395604	
Megamonas						1	1.42655729033252	0.28971028971029	0.854395604395604	
Propionibacterium						1	1.43488755188191	0.286713286713287	0.854395604395604	
Turicimonas						1	1.44946550959334	0.278721278721279	0.854395604395604	
Longicatena	1	1.35949240206075	0.316683316683317	0.860633484162896						
Anaerotruncus	2	1.24971664166974	0.326673326673327	0.872679045092838						
Dorea	4	1.11385937139372	0.373626373626374	0.890769230769231		1	0.810117935677886	0.587412587412587	0.950769230769231	
Enterobacter	5	1.09804904320184	0.383616383616384	0.890769230769231		2	0.374828826475171	0.895104895104895	0.981837606837607	
Intestinimonas	6	1.09980008008762	0.377622377622378	0.890769230769231						
Kluyvera	1	1.25195046577833	0.378621378621379	0.890769230769231						
Negativibacillus	1	1.22963044126689	0.385614385614386	0.890769230769231						
Odoribacter	2	1.17985073394408	0.377622377622378	0.890769230769231		1	0.635182443140759	0.677322677322677	0.950769230769231	
Prevotella	11	1.09562587502672	0.348651348651349	0.890769230769231		12	0.295576746629425	0.997002997002997	1	
Pyramidobacter	1	1.27224139715237	0.365634365634366	0.890769230769231						
Enorma	1	0.221171151977047	0.897102897102897	0.981837606837607		1	1.30993362864111	0.341658341658342	0.890769230769231	
Lactiplantibacillus						1	1.26203462473213	0.361638361638362	0.890769230769231	
Mitsuokella	1	1.11397213243485	0.43956043956044	0.910714285714286		1	1.21830075159785	0.381618381618382	0.890769230769231	
Raoultella						1	1.22871357853458	0.37962037962038	0.890769230769231	
Serratia						1	1.25578692857009	0.365634365634366	0.890769230769231	
Adlercreutzia	1	1.14846671577072	0.417582417582418	0.895804195804196						
Citrobacter	4	1.06553076230432	0.426573426573427	0.895804195804196		3	0.214764525536626	0.967032967032967	0.996923076923077	
Coprococcus	4	1.0807038910904	0.40959040959041	0.895804195804196		3	0.961859471214503	0.571428571428571	0.950769230769231	
Monoglobus	1	1.1890485785188	0.3996003996004	0.895804195804196						
Parolsenella	1	1.15658308832034	0.414585414585415	0.895804195804196						
Prevotellamassilia	1	1.20528132361804	0.396603396603397	0.895804195804196						
Ruminococcus	7	1.04743814397118	0.424575424575425	0.895804195804196		12	0.80074205476921	0.768231768231768	0.952074103906565	
Christensenella						1	1.14541096304071	0.414585414585415	0.895804195804196	
Faecalibacterium	3	0.679556545377844	0.787212787212787	0.952074103906565		9	1.07960100769819	0.392607392607393	0.895804195804196	
Catenibacterium	1	1.10991394616004	0.441558441558442	0.910714285714286						
Agathobaculum	2	1.1025692427335	0.452547452547453	0.925119128658952						
Gemella	1	1.0368665932135	0.476523476523477	0.932855280312907						
Proteus	1	1.04498296576311	0.474525474525475	0.932855280312907						
Anaeroglobus						1	1.05377808599746	0.464535464535465	0.932855280312907	
Fournierella						1	1.04336525906072	0.466533466533467	0.932855280312907	
Pseudoflavonifractor	6	0.982592297636401	0.490509490509491	0.936427209154482						
Rikenella						1	1.00796164747583	0.485514485514486	0.936427209154482	
Anaerobutyricum	2	0.994799316752031	0.53946053946054	0.950769230769231						
Anaerostipes	3	0.974099386414312	0.536463536463537	0.950769230769231		3	0.947739093854931	0.583416583416583	0.950769230769231	
Butyricimonas	3	0.878643261339594	0.635364635364635	0.950769230769231		1	0.385274596659149	0.805194805194805	0.954866562009419	
