id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message
Prevotella	11	1.13292210824063	0.332667332667333	0.873251748251748		12	0.256362545552768	0.997002997002997	1	
Dorea	4	1.11008370960734	0.361638361638362	0.885011895321174		1	0.783909147772967	0.612387612387613	0.963267070008643	
Enterobacter	5	1.11397750402479	0.356643356643357	0.885011895321174		2	0.229606394085406	0.958041958041958	1	
Kluyvera	1	1.24033521477864	0.366633366633367	0.885011895321174						
Negativibacillus	1	1.23222844866897	0.36963036963037	0.885011895321174						
Prevotellamassilia	1	1.25452205547055	0.357642357642358	0.885011895321174						
Pyramidobacter	1	1.26668220463504	0.353646353646354	0.885011895321174						
Enorma	1	0.245229674817345	0.872127872127872	0.978855267954794		1	1.24491271395033	0.371628371628372	0.885011895321174	
Faecalibacterium	3	0.721752402582482	0.742257742257742	0.963267070008643		9	1.12438829201527	0.342657342657343	0.885011895321174	
Lactiplantibacillus						1	1.22460418680596	0.378621378621379	0.892464678178964	
Monoglobus	1	1.18156116048357	0.392607392607393	0.897943640517898						
Odoribacter	2	1.16221443933348	0.388611388611389	0.897943640517898		1	0.564577054613691	0.726273726273726	0.963267070008643	
Mitsuokella	1	1.13900063840783	0.417582417582418	0.910014513788099		1	1.21648077594821	0.392607392607393	0.897943640517898	
Adlercreutzia	1	1.16534762826424	0.404595404595405	0.910014513788099						
